year,hour,delay_minutes
2019,0,0.506695818529653
2019,1,1.1229350531794524
2019,2,3.063511830635118
2019,3,1.945468509984639
2019,4,0.572566971854866
2019,5,0.8034169835234474
2019,6,0.8755602996368499
2019,7,1.147376620597891
2019,8,1.11886236836977
2019,9,0.9172369158399041
2019,10,0.8718076541129086
2019,11,0.8308048124861193
2019,12,0.9410496552850114
2019,13,1.1146252271576251
2019,14,1.105337783721848
2019,15,1.1320338739349878
2019,16,1.3581439003886007
2019,17,1.5725907791675076
2019,18,1.1425663693035253
2019,19,0.8264512314357153
2019,20,0.8406435068358525
2019,21,0.8925338706855777
2019,22,0.8293377640636126
2019,23,0.6951172444213395
2020,0,0.3147920789219014
2020,1,-0.6006944444444444
2020,2,0.8967065868263473
2020,3,0.5893155258764607
2020,4,0.5409646514701024
2020,5,0.5125829929955052
2020,6,0.8832041416770398
2020,7,0.6734866062012234
2020,8,0.545307200653317
2020,9,0.6925573877653358
2020,10,1.0059694623423032
2020,11,1.119394928776429
2020,12,0.746908378497457
2020,13,0.5776411579738875
2020,14,0.6353625889603454
2020,15,0.5774084136422665
2020,16,0.6108552669736796
2020,17,0.6335402107019923
2020,18,0.4952160736851404
2020,19,0.47130311129837127
2020,20,0.406315612664819
2020,21,0.4272774777913256
2020,22,0.39868333307485926
2020,23,0.4778784625295254
2026,0,0.4597195765543516
2026,1,0.48630510942263067
2026,2,0.13504116508675829
2026,3,0.06135902636916836
2026,4,0.4388428353916427
2026,5,0.4436513286652459
2026,6,0.49038282155853785
2026,7,0.6202635392497684
2026,8,0.7379855750471647
2026,9,0.6390675496688741
2026,10,0.7078857314495972
2026,11,0.7759158255490773
2026,12,0.7741431526753568
2026,13,0.8511073219044507
2026,14,0.8566507124480924
2026,15,0.9899754359609412
2026,16,1.247281476078478
2026,17,1.3280147474858093
2026,18,0.8994585663350764
2026,19,0.7463080895008606
2026,20,0.7080259232916848
2026,21,0.7035241481559232
2026,22,0.7866651546135301
2026,23,0.5950449631201374
